N,Childs,Tournament size,Crossover prob,Mutation prob,Elite size,Generations,Population size,GA CPU time,Fitness,Date
10,100,20,0.3,0.3,10,20,150,4.959102132,1272.85789004345,2024-09-18 16:24:09.085962
10,100,10,0.3,0.3,10,20,150,5.450638771,1090.39131676771,2024-09-18 16:24:09.370909
10,100,30,0.3,0.3,10,20,150,4.946333518,1272.85789004345,2024-09-18 16:24:15.766039
10,100,5,0.3,0.3,20,20,150,5.307206128,1086.8790729739,2024-09-18 16:24:16.388580
10,100,20,0.3,0.3,20,20,150,5.048047389,1272.85789004345,2024-09-18 16:24:23.139865
10,100,10,0.3,0.3,20,20,150,5.437303087,1090.39131676771,2024-09-18 16:24:23.320006
10,100,30,0.3,0.3,20,20,150,5.025280432,1272.85789004345,2024-09-18 16:24:29.797884
10,100,5,0.3,0.3,30,20,150,5.332375434,1090.39131676771,2024-09-18 16:24:30.436387
10,100,10,0.3,0.3,30,20,150,5.041673226,1272.85789004345,2024-09-18 16:24:36.474248
10,100,20,0.3,0.3,30,20,150,4.996438049,1272.85789004345,2024-09-18 16:24:37.038124
10,100,30,0.3,0.3,30,20,150,5.127930863,1272.85789004345,2024-09-18 16:24:42.995570
10,100,5,0.3,0.3,5,20,200,5.362511073,1074.07022956633,2024-09-18 16:24:43.766269
10,100,10,0.3,0.3,5,20,200,5.412751178,1090.39131676771,2024-09-18 16:24:50.135932
10,100,20,0.3,0.3,5,20,200,5.458667207,1090.39131676771,2024-09-18 16:24:50.882293
10,100,30,0.3,0.3,5,20,200,5.53455389,1096.47060808576,2024-09-18 16:24:57.461904
10,100,5,0.3,0.3,10,20,200,5.345736976,1090.63688972308,2024-09-18 16:24:57.761004
10,100,10,0.3,0.3,10,20,200,5.362924324,1090.39131676771,2024-09-18 16:25:04.658370
10,100,20,0.3,0.3,10,20,200,5.454374081,1090.39131676771,2024-09-18 16:25:04.677823
10,100,5,0.3,0.3,20,20,200,5.003469111,1272.85789004345,2024-09-18 16:25:10.874166
10,100,30,0.3,0.3,10,20,200,5.589506514,1128.87129782272,2024-09-18 16:25:11.476775
10,100,10,0.3,0.3,20,20,200,5.341727829,1090.39131676771,2024-09-18 16:25:17.713852
10,100,20,0.3,0.3,20,20,200,5.446867728,1090.39131676771,2024-09-18 16:25:18.343941
10,100,5,0.3,0.3,30,20,200,5.110853148,1272.85789004345,2024-09-18 16:25:24.728065
10,100,30,0.3,0.3,20,20,200,5.657073399,1096.47060808576,2024-09-18 16:25:24.753887
10,100,10,0.3,0.3,30,20,200,5.375130349,1090.39131676771,2024-09-18 16:25:31.514534
10,100,20,0.3,0.3,30,20,200,5.732728385,1132.40919078127,2024-09-18 16:25:31.778334
10,100,30,0.3,0.3,30,20,200,5.743212021,1128.87129782272,2024-09-18 16:25:38.874192
20,100,5,0.3,0.3,5,20,50,30.924611448,2501.15277334027,2024-09-18 16:33:03.364143
20,100,10,0.3,0.3,5,20,50,26.663989893,2820.70491653617,2024-09-18 16:41:21.362878
20,100,20,0.3,0.3,5,20,50,28.43888924,2760.14669178342,2024-09-18 16:49:41.202551
20,100,30,0.3,0.3,5,20,50,30.598760765,2665.24968447562,2024-09-18 16:52:25.685246
20,100,10,0.3,0.3,10,20,50,27.085881786,2762.7377404979,2024-09-18 16:55:37.748921
20,100,5,0.3,0.3,10,20,50,29.220226183,2483.23104753504,2024-09-18 16:55:39.923082
20,100,20,0.3,0.3,10,20,50,28.011647041,2666.93989279125,2024-09-18 16:56:06.913817
20,100,30,0.3,0.3,10,20,50,26.444202717,2785.62791803845,2024-09-18 16:56:07.408761
20,100,10,0.3,0.3,20,20,50,26.844567461,2774.2368033458,2024-09-18 16:56:34.623100
20,100,5,0.3,0.3,20,20,50,27.427531375,2757.76277908346,2024-09-18 16:56:35.032294
20,100,20,0.3,0.3,20,20,50,27.778840299,2733.97562041491,2024-09-18 16:57:03.071305
20,100,30,0.3,0.3,20,20,50,27.478635706,2817.90552789726,2024-09-18 16:57:03.225176
20,100,10,0.3,0.3,30,20,50,27.429426849,2761.87377664799,2024-09-18 16:57:30.846584
20,100,5,0.3,0.3,30,20,50,29.370559068,2498.13815514845,2024-09-18 16:57:32.627361
20,100,20,0.3,0.3,30,20,50,28.138064619,2733.97562041491,2024-09-18 16:57:59.532043
20,100,30,0.3,0.3,30,20,50,27.453400321,2826.24567319811,2024-09-18 16:58:00.652869
20,100,5,0.3,0.3,5,20,100,30.374830182,2539.49479064544,2024-09-18 16:58:30.336262
20,100,10,0.3,0.3,5,20,100,29.894552043,2540.60141578114,2024-09-18 16:58:30.720311
20,100,20,0.3,0.3,5,20,100,28.354316749,2790.21502584691,2024-09-18 16:58:59.114646
20,100,30,0.3,0.3,5,20,100,32.790922824,2772.59142796231,2024-09-18 16:59:03.533385
20,100,5,0.3,0.3,10,20,100,29.146026032,2817.90552789726,2024-09-18 16:59:28.882083
20,100,10,0.3,0.3,10,20,100,29.484348822,2816.51316566554,2024-09-18 16:59:33.763622
20,100,20,0.3,0.3,10,20,100,24.18978383,2831.12661186204,2024-09-18 18:18:48.151427
20,100,30,0.3,0.3,10,20,100,29.351204678,2637.72006094725,2024-09-18 17:00:03.764326
20,100,5,0.3,0.3,20,20,100,28.186882275,2817.90552789726,2024-09-18 17:00:26.123160
20,100,10,0.3,0.3,20,20,100,30.040427626,2470.19481538469,2024-09-18 17:00:34.035627
20,100,20,0.3,0.3,20,20,100,28.308197685,2796.14095177283,2024-09-18 17:00:55.111396
20,100,30,0.3,0.3,20,20,100,29.458215096,2605.44685296313,2024-09-18 17:01:03.950103
20,100,5,0.3,0.3,30,20,100,31.053134377,2695.79289685791,2024-09-18 17:01:26.678276
20,100,10,0.3,0.3,30,20,100,29.874252921,2635.67479558497,2024-09-18 17:01:34.295627
20,100,20,0.3,0.3,30,20,100,31.537001474,2065.40179697939,2024-09-18 17:01:58.586685
