N,Generations,Sigma,Population size,CMA CPU time,Fitness,Date
40,20,0.5,150,184.29223232400003,4451.162448902933,2024-09-19 13:03:05.784709
40,20,0.1,200,266.208412518,4309.334147752071,2024-09-19 13:07:09.883528
40,20,0.25,200,258.962859526,4584.070636847959,2024-09-19 13:07:19.111024
40,20,1.0,200,226.669106973,4417.321312455841,2024-09-19 13:11:00.468201
40,20,0.5,200,242.029000952,4587.2922651585595,2024-09-19 13:11:06.540196
50,20,0.1,50,101.936917268,5754.969673000269,2024-09-19 17:10:27.043934
50,20,0.25,50,103.11050484500001,5679.682404622328,2024-09-19 17:10:28.094408
50,20,1.0,50,73.900485687,5752.0363942346885,2024-09-19 17:11:50.749569
50,20,0.5,50,95.196753439,5908.035895676446,2024-09-19 17:12:11.580262
50,20,0.1,100,203.57834360400003,5757.571045083278,2024-09-19 17:15:19.343418
50,20,0.5,100,182.86061286199998,5664.068262098906,2024-09-19 17:15:19.823655
50,20,1.0,100,153.725997931,5842.7962064840485,2024-09-19 17:17:59.189268
50,20,0.1,150,311.492227206,5619.478628850215,2024-09-19 17:20:31.441583
50,20,0.25,150,296.982932431,5783.94166385181,2024-09-19 17:22:57.615644
50,20,0.5,150,270.31088085,5913.9559503369555,2024-09-19 17:25:04.851586
50,20,1.0,150,236.43470057899998,5873.987039537518,2024-09-19 17:26:57.857306
50,20,0.1,200,411.077050669,5669.835442650752,2024-09-19 17:31:54.149569
50,20,0.25,200,365.42710609700003,5682.978146244556,2024-09-19 17:33:01.187990
50,20,0.5,200,343.579648052,5784.742311082361,2024-09-19 17:37:37.847227
50,20,1.0,200,311.235663661,5728.19163651539,2024-09-19 17:38:11.870068
60,20,0.25,50,153.351052469,5992.561968787368,2024-09-19 20:36:00.697993
60,20,0.1,50,156.27078839,5851.47902267115,2024-09-19 20:36:04.385341
60,20,1.0,50,95.795947244,6425.11304290183,2024-09-19 20:37:53.905921
60,20,0.5,50,139.271530926,6230.076883478598,2024-09-19 20:38:32.711513
60,20,0.5,100,261.631393801,6015.4180466806165,2024-09-19 20:43:01.359155
60,20,0.1,100,309.056949994,5888.545104477664,2024-09-19 20:43:08.709922
60,20,1.0,100,208.453069112,6176.603715901738,2024-09-19 20:46:38.637749
60,20,0.1,150,463.167107643,5786.9827343003435,2024-09-19 20:50:52.244258
60,20,0.25,150,442.561613034,5986.2653630748455,2024-09-19 20:54:00.801544
60,20,0.5,150,392.484392572,5968.464794564168,2024-09-19 20:57:26.038000
60,20,1.0,150,323.952001997,6126.292862510463,2024-09-19 20:59:28.347231
60,20,0.1,200,615.8047062149999,5884.847436466007,2024-09-19 21:07:35.822186
60,20,0.25,200,527.078504428,6016.367097571858,2024-09-19 21:08:13.554682
60,20,1.0,200,437.104069023,5881.067457582334,2024-09-19 21:15:29.935440
60,20,0.5,200,495.546114928,6039.867818317844,2024-09-19 21:15:48.389231
